top-1 output,BFA iteration
7,33
6,33
5,33
8,33
6,33
3,33
5,33
2,33
3,33
0,33
1,33
1,33
6,33
0,33
8,33
2,33
7,33
1,33
1,33
1,33
0,33
0,33
0,33
1,33
9,33
1,33
9,33
2,33
9,33
1,33
8,33
3,33
0,33
3,33
6,33
9,33
8,33
0,33
2,33
6,33
3,33
0,33
9,33
7,33
2,33
5,33
2,33
8,33
0,33
3,33
8,33
0,33
3,33
2,33
1,33
0,33
6,33
3,33
3,33
5,33
4,33
3,33
3,33
3,33
8,33
1,33
4,33
6,33
0,33
3,33
2,33
4,33
3,33
0,33
6,33
3,33
2,33
2,33
1,33
1,33
4,33
7,33
8,33
5,33
3,33
6,33
5,33
6,33
8,33
6,33
3,33
3,33
4,33
0,33
6,33
0,33
4,33
6,33
3,33
5,33
3,33
3,33
8,33
4,33
0,33
4,33
1,33
1,33
9,33
4,33
7,33
2,33
1,33
1,33
6,33
8,33
8,33
3,33
6,33
2,33
6,33
0,33
1,33
0,33
4,33
6,33
0,33
2,33
1,33
4,33
0,33
4,33
1,33
8,33
1,33
3,33
8,33
3,33
0,33
6,33
6,33
2,33
9,33
2,33
3,33
2,33
0,33
1,33
3,33
3,33
2,33
4,33
3,33
8,33
8,33
2,33
2,33
4,33
1,33
9,33
2,33
9,33
0,33
2,33
1,33
0,33
6,33
8,33
3,33
6,33
0,33
9,33
0,33
8,33
3,33
8,33
8,33
2,33
6,33
9,33
0,33
1,33
8,33
4,33
7,33
9,33
6,33
3,33
6,33
2,33
4,33
3,33
1,33
5,33
1,33
8,33
3,33
3,33
1,33
6,33
5,33
3,33
5,33
5,33
2,33
3,33
9,33
9,33
7,33
4,33
8,33
8,33
1,33
3,33
0,33
8,33
3,33
9,33
6,33
5,33
8,33
1,33
4,33
1,33
3,33
1,33
3,33
3,33
2,33
4,33
1,33
0,33
0,33
0,33
3,33
2,33
3,33
2,33
0,33
3,33
9,33
9,33
1,33
2,33
8,33
9,33
9,33
5,33
8,33
0,33
5,33
9,33
6,33
9,33
3,33
0,33
3,33
1,33
3,33
3,33
3,33
9,33
1,33
9,33
3,33
6,33
2,33
9,33
3,33
6,33
9,33
3,33
6,33
9,33
6,33
0,33
3,33
5,33
3,33
2,33
1,33
3,33
0,33
3,33
8,33
3,33
9,33
7,33
0,33
1,33
1,33
1,33
8,33
0,33
8,33
4,33
2,33
6,33
3,33
2,33
6,33
0,33
6,33
5,33
4,33
0,33
0,33
8,33
6,33
4,33
9,33
3,33
7,33
0,33
0,33
9,33
0,33
4,33
7,33
6,33
0,33
3,33
7,33
9,33
9,33
7,33
6,33
5,33
4,33
2,33
9,33
1,33
2,33
0,33
6,33
2,33
1,33
3,33
5,33
6,33
0,33
6,33
2,33
3,33
2,33
2,33
7,33
9,33
4,33
8,33
6,33
8,33
1,33
1,33
2,33
1,33
3,33
8,33
3,33
3,33
3,33
1,33
8,33
0,33
6,33
0,33
0,33
6,33
1,33
9,33
0,33
8,33
6,33
3,33
8,33
6,33
3,33
2,33
9,33
9,33
0,33
0,33
3,33
3,33
8,33
5,33
2,33
4,33
8,33
1,33
8,33
3,33
7,33
8,33
0,33
3,33
2,33
2,33
3,33
8,33
6,33
4,33
8,33
8,33
2,33
4,33
6,33
8,33
2,33
1,33
4,33
6,33
1,33
5,33
0,33
3,33
6,33
0,33
5,33
9,33
8,33
9,33
1,33
9,33
5,33
5,33
3,33
6,33
3,33
1,33
7,33
2,33
3,33
6,33
1,33
0,33
7,33
1,33
3,33
3,33
2,33
9,33
0,33
9,33
3,33
3,33
3,33
8,33
8,33
3,33
3,33
1,33
0,33
5,33
7,33
7,33
1,33
3,33
9,33
4,33
4,33
7,33
4,33
6,33
2,33
2,33
9,33
0,33
0,33
2,33
9,33
3,33
9,33
8,33
8,33
9,33
2,33
2,33
0,33
3,33
0,33
6,33
3,33
9,33
4,33
5,33
6,33
6,33
9,33
9,33
6,33
6,33
6,33
9,33
0,33
6,33
9,33
8,33
6,33
9,33
2,33
6,33
2,33
1,33
4,33
0,33
1,33
1,33
0,33
4,33
1,33
0,33
8,33
3,33
1,33
2,33
4,33
8,33
0,33
5,33
9,33
1,33
9,33
5,33
8,33
3,33
3,33
1,33
4,33
2,33
2,33
5,33
5,33
3,33
8,33
2,33
9,33
2,33
2,33
9,33
0,33
3,33
1,33
3,33
3,33
3,33
2,33
6,33
0,33
3,33
2,33
3,33
8,33
1,33
8,33
4,33
5,33
6,33
0,33
9,33
1,33
3,33
9,33
3,33
0,33
1,33
8,33
5,33
1,33
5,33
3,33
4,33
6,33
3,33
3,33
8,33
7,33
0,33
6,33
7,33
6,33
2,33
8,33
1,33
8,33
0,33
3,33
9,33
9,33
6,33
1,33
3,33
0,33
3,33
3,33
3,33
5,33
3,33
3,33
2,33
3,33
8,33
2,33
7,33
2,33
9,33
8,33
5,33
8,33
0,33
3,33
8,33
3,33
3,33
5,33
1,33
8,33
1,33
8,33
4,33
2,33
4,33
8,33
9,33
8,33
7,33
5,33
1,33
9,33
8,33
5,33
7,33
3,33
3,33
1,33
9,33
0,33
1,33
1,33
3,33
5,33
0,33
5,33
7,33
4,33
3,33
3,33
6,33
1,33
2,33
3,33
2,33
6,33
3,33
4,33
3,33
8,33
6,33
1,33
4,33
6,33
4,33
8,33
8,33
5,33
6,33
3,33
8,33
2,33
5,33
3,33
7,33
9,33
3,33
3,33
3,33
5,33
9,33
1,33
2,33
9,33
8,33
1,33
5,33
7,33
5,33
0,33
5,33
3,33
0,33
1,33
8,33
0,33
6,33
5,33
0,33
3,33
8,33
4,33
3,33
9,33
3,33
0,33
8,33
2,33
2,33
9,33
5,33
8,33
5,33
6,33
2,33
9,33
8,33
1,33
4,33
8,33
9,33
0,33
3,33
1,33
5,33
2,33
8,33
2,33
3,33
8,33
9,33
8,33
1,33
6,33
0,33
3,33
2,33
6,33
1,33
3,33
2,33
2,33
2,33
1,33
4,33
1,33
9,33
4,33
1,33
0,33
3,33
2,33
0,33
9,33
4,33
8,33
4,33
3,33
6,33
6,33
2,33
5,33
7,33
6,33
2,33
3,33
1,33
9,33
1,33
8,33
2,33
3,33
0,33
2,33
3,33
7,33
4,33
3,33
5,33
2,33
3,33
4,33
2,33
6,33
0,33
3,33
9,33
4,33
8,33
7,33
1,33
3,33
8,33
6,33
9,33
6,33
5,33
2,33
9,33
7,33
5,33
6,33
8,33
5,33
3,33
1,33
8,33
1,33
5,33
0,33
0,33
9,33
1,33
3,33
3,33
8,33
1,33
9,33
5,33
2,33
1,33
4,33
8,33
1,33
2,33
8,33
9,33
3,33
1,33
4,33
3,33
2,33
3,33
3,33
3,33
9,33
5,33
8,33
9,33
3,33
2,33
2,33
9,33
1,33
8,33
4,33
3,33
0,33
0,33
2,33
9,33
5,33
5,33
3,33
9,33
9,33
0,33
7,33
0,33
4,33
0,33
2,33
9,33
4,33
8,33
0,33
8,33
6,33
4,33
0,33
6,33
1,33
6,33
4,33
8,33
6,33
3,33
1,33
6,33
3,33
4,33
1,33
9,33
3,33
2,33
3,33
5,33
2,33
2,33
2,33
8,33
6,33
0,33
4,33
1,33
1,33
0,33
2,33
8,33
8,33
1,33
2,33
3,33
3,33
4,33
3,33
4,33
2,33
1,33
3,33
6,33
0,33
6,33
0,33
1,33
0,33
6,33
2,33
8,33
2,33
5,33
0,33
5,33
9,33
1,33
9,33
3,33
5,33
2,33
7,33
4,33
8,33
0,33
3,33
6,33
8,33
9,33
0,33
7,33
6,33
3,33
0,33
3,33
6,33
3,33
6,33
8,33
3,33
2,33
0,33
1,33
7,33
4,33
8,33
3,33
2,33
9,33
3,33
7,33
0,33
9,33
2,33
1,33
0,33
5,33
0,33
8,33
3,33
2,33
1,33
0,33
9,33
9,33
1,33
1,33
3,33
2,33
8,33
6,33
3,33
3,33
6,33
7,33
4,33
7,33
6,33
6,33
4,33
9,33
8,33
3,33
5,33
6,33
9,33
9,33
6,33
4,33
5,33
8,33
3,33
2,33
2,33
9,33
9,33
3,33
9,33
4,33
8,33
3,33
5,33
9,33
6,33
6,33
0,33
3,33
3,33
1,33
2,33
6,33
3,33
0,33
9,33
3,33
9,33
8,33
9,33
9,33
0,33
8,33
4,33
4,33
7,33
4,33
9,33
8,33
9,33
8,33
0,33
3,33
0,33
9,33
2,33
1,33
2,33
3,33
1,33
9,33
6,33
6,33
3,33
3,33
8,33
9,33
3,33
5,33
0,33
3,33
5,33
8,33
4,33
9,33
1,33
2,33
9,33
8,33
3,33
9,33
6,33
7,33
2,33
6,33
3,33
9,33
6,33
1,33
1,33
4,33
3,33
3,33
7,33
9,33
3,33
0,33
3,33
1,33
3,33
2,33
5,33
0,33
3,33
1,33
4,33
9,33
1,33
1,33
0,33
3,33
3,33
3,33
9,33
9,33
6,33
6,33
3,33
2,33
4,33
5,33
7,33
3,33
9,33
0,33
6,33
4,33
0,33
8,33
7,33
5,33
9,33
9,33
7,33
3,33
0,33
2,33
8,33
8,33
2,33
1,33
1,33
3,33
0,33
8,33
3,33
2,33
6,33
3,33
9,33
1,33
3,33
2,33
4,33
4,33
3,33
3,33
1,33
9,33
0,33
3,33
8,33
2,33
1,33
2,33
9,33
9,33
9,33
8,33
2,33
2,33
7,33
8,33
6,33
0,33
1,33
2,33
2,33
2,33
3,33
8,33
0,33
1,33
1,33
2,33
3,33
3,33
3,33
5,33
6,33
2,33
6,33
3,33
3,33
3,33
9,33
0,33
1,33
9,33
0,33
0,33
0,33
9,33
7,33
4,33
3,33
6,33
1,33
2,33
1,33
3,33
3,33
2,33
5,33
9,33
6,33
9,33
6,33
2,33
6,33
8,33
1,33
3,33
3,33
3,33
6,33
9,33
6,33
5,33
8,33
5,33
3,33
4,33
9,33
9,33
3,33
9,33
0,33
1,33
0,33
4,33
6,33
9,33
8,33
5,33
9,33
4,33
0,33
1,33
0,33
3,33
3,33
1,33
4,33
0,33
3,33
3,33
9,33
8,33
9,33
6,33
3,33
0,33
1,33
4,33
0,33
8,33
6,33
9,33
5,33
6,33
7,33
3,33
1,33
3,33
6,33
3,33
1,33
3,33
2,33
9,33
9,33
5,33
9,33
4,33
4,33
2,33
9,33
3,33
0,33
3,33
5,33
9,33
7,33
6,33
9,33
0,33
3,33
4,33
5,33
2,33
7,33
9,33
0,33
9,33
6,33
8,33
4,33
0,33
5,33
9,33
5,33
2,33
0,33
9,33
3,33
3,33
8,33
0,33
6,33
1,33
3,33
8,33
8,33
6,33
2,33
0,33
9,33
5,33
2,33
3,33
1,33
5,33
0,33
3,33
2,33
0,33
4,33
2,33
0,33
9,33
4,33
6,33
5,33
2,33
1,33
2,33
3,33
5,33
8,33
6,33
1,33
3,33
9,33
4,33
3,33
9,33
3,33
4,33
8,33
2,33
2,33
6,33
9,33
5,33
1,33
3,33
3,33
1,33
6,33
5,33
0,33
1,33
0,33
9,33
6,33
8,33
4,33
4,33
1,33
9,33
0,33
9,33
6,33
5,33
8,33
8,33
0,33
5,33
1,33
2,33
3,33
2,33
6,33
2,33
6,33
3,33
2,33
3,33
0,33
4,33
9,33
0,33
2,33
3,33
3,33
9,33
4,33
6,33
4,33
1,33
2,33
4,33
0,33
9,33
3,33
4,33
4,33
4,33
4,33
3,33
4,33
1,33
3,33
2,33
0,33
8,33
1,33
5,33
4,33
9,33
3,33
3,33
2,33
0,33
1,33
1,33
2,33
7,33
9,33
2,33
2,33
8,33
1,33
0,33
8,33
2,33
4,33
9,33
0,33
9,33
3,33
4,33
0,33
0,33
0,33
4,33
7,33
4,33
8,33
4,33
0,33
6,33
6,33
6,33
8,33
2,33
3,33
8,33
0,33
4,33
9,33
4,33
6,33
3,33
1,33
3,33
4,33
3,33
3,33
9,33
6,33
9,33
4,33
2,33
3,33
3,33
7,33
9,33
0,33
1,33
8,33
0,33
2,33
9,33
3,33
8,33
1,33
4,33
8,33
3,33
6,33
5,33
4,33
5,33
1,33
8,33
3,33
2,33
8,33
3,33
3,33
3,33
3,33
4,33
8,33
6,33
0,33
8,33
7,33
2,33
4,33
0,33
7,33
3,33
5,33
4,33
1,33
5,33
7,33
3,33
3,33
0,33
4,33
3,33
3,33
5,33
3,33
1,33
0,33
2,33
9,33
1,33
0,33
0,33
3,33
0,33
3,33
2,33
3,33
6,33
8,33
9,33
0,33
6,33
1,33
5,33
4,33
8,33
1,33
0,33
0,33
4,33
4,33
0,33
6,33
9,33
1,33
9,33
3,33
6,33
4,33
2,33
5,33
2,33
5,33
4,33
6,33
2,33
2,33
1,33
3,33
3,33
7,33
4,33
3,33
8,33
2,33
4,33
9,33
6,33
2,33
2,33
5,33
5,33
0,33
5,33
2,33
1,33
9,33
9,33
6,33
1,33
3,33
2,33
0,33
2,33
0,33
0,33
8,33
4,33
8,33
5,33
3,33
6,33
5,33
9,33
0,33
1,33
6,33
8,33
6,33
2,33
2,33
3,33
4,33
4,33
3,33
8,33
2,33
9,33
5,33
9,33
8,33
1,33
7,33
9,33
9,33
3,33
3,33
1,33
8,33
3,33
1,33
2,33
7,33
3,33
7,33
9,33
8,33
3,33
0,33
4,33
0,33
2,33
1,33
1,33
6,33
8,33
2,33
3,33
6,33
5,33
7,33
3,33
5,33
7,33
7,33
1,33
3,33
3,33
0,33
0,33
8,33
9,33
3,33
3,33
0,33
2,33
3,33
1,33
2,33
3,33
4,33
4,33
3,33
2,33
1,33
7,33
3,33
5,33
4,33
8,33
2,33
6,33
9,33
5,33
1,33
1,33
0,33
2,33
0,33
1,33
7,33
9,33
3,33
7,33
1,33
8,33
7,33
0,33
2,33
5,33
1,33
1,33
3,33
3,33
6,33
5,33
0,33
3,33
6,33
0,33
9,33
8,33
9,33
3,33
3,33
2,33
7,33
3,33
5,33
0,33
3,33
8,33
2,33
9,33
5,33
0,33
2,33
3,33
3,33
6,33
3,33
3,33
9,33
4,33
8,33
6,33
5,33
7,33
7,33
8,33
8,33
3,33
0,33
3,33
2,33
5,33
8,33
9,33
3,33
3,33
9,33
3,33
5,33
3,33
1,33
7,33
9,33
5,33
9,33
9,33
3,33
3,33
5,33
2,33
0,33
2,33
6,33
9,33
2,33
5,33
3,33
9,33
8,33
0,33
9,33
9,33
3,33
7,33
0,33
1,33
6,33
3,33
7,33
5,33
7,33
0,33
7,33
1,33
3,33
6,33
7,33
4,33
0,33
1,33
8,33
7,33
1,33
3,33
0,33
6,33
5,33
3,33
6,33
0,33
6,33
2,33
4,33
3,33
4,33
5,33
5,33
8,33
4,33
0,33
1,33
2,33
3,33
2,33
2,33
7,33
3,33
0,33
1,33
2,33
3,33
2,33
2,33
7,33
0,33
6,33
3,33
7,33
3,33
7,33
6,33
9,33
5,33
6,33
3,33
6,33
3,33
9,33
3,33
9,33
5,33
1,33
0,33
6,33
3,33
5,33
0,33
9,33
5,33
8,33
3,33
3,33
7,33
3,33
3,33
5,33
3,33
3,33
0,33
1,33
0,33
2,33
3,33
1,33
9,33
2,33
8,33
3,33
1,33
9,33
3,33
3,33
6,33
3,33
3,33
1,33
6,33
6,33
8,33
3,33
4,33
3,33
3,33
8,33
4,33
2,33
5,33
3,33
1,33
3,33
7,33
3,33
3,33
2,33
9,33
3,33
3,33
1,33
1,33
8,33
3,33
7,33
7,33
5,33
1,33
8,33
7,33
8,33
1,33
3,33
3,33
8,33
9,33
0,33
1,33
6,33
3,33
1,33
3,33
4,33
9,33
3,33
3,33
4,33
0,33
3,33
2,33
2,33
5,33
2,33
3,33
8,33
6,33
5,33
3,33
3,33
9,33
0,33
8,33
2,33
9,33
5,33
3,33
2,33
8,33
0,33
9,33
5,33
6,33
3,33
0,33
3,33
1,33
5,33
3,33
8,33
9,33
1,33
2,33
5,33
8,33
8,33
9,33
0,33
1,33
3,33
0,33
7,33
3,33
2,33
1,33
9,33
5,33
2,33
7,33
8,33
0,33
9,33
8,33
1,33
1,33
6,33
6,33
3,33
0,33
2,33
3,33
2,33
3,33
7,33
9,33
3,33
4,33
5,33
3,33
5,33
3,33
0,33
2,33
8,33
6,33
8,33
3,33
1,33
4,33
3,33
6,33
0,33
1,33
3,33
9,33
3,33
0,33
7,33
0,33
0,33
8,33
0,33
3,33
3,33
8,33
6,33
8,33
6,33
7,33
1,33
6,33
0,33
4,33
1,33
5,33
0,33
9,33
9,33
2,33
3,33
0,33
1,33
2,33
2,33
2,33
1,33
2,33
2,33
9,33
3,33
3,33
5,33
3,33
3,33
2,33
2,33
4,33
3,33
2,33
4,33
3,33
3,33
0,33
3,33
0,33
3,33
9,33
5,33
4,33
8,33
9,33
3,33
1,33
0,33
2,33
1,33
8,33
3,33
5,33
7,33
6,33
9,33
3,33
2,33
2,33
2,33
1,33
3,33
9,33
9,33
7,33
5,33
8,33
3,33
4,33
1,33
7,33
8,33
0,33
2,33
0,33
1,33
5,33
3,33
6,33
3,33
7,33
3,33
8,33
2,33
6,33
1,33
4,33
2,33
3,33
1,33
9,33
6,33
1,33
9,33
3,33
6,33
4,33
2,33
0,33
7,33
3,33
3,33
8,33
3,33
6,33
2,33
0,33
9,33
8,33
3,33
3,33
4,33
4,33
8,33
5,33
5,33
8,33
2,33
6,33
2,33
7,33
8,33
1,33
5,33
3,33
2,33
1,33
6,33
3,33
8,33
0,33
9,33
2,33
3,33
6,33
9,33
2,33
4,33
7,33
1,33
2,33
1,33
9,33
6,33
4,33
3,33
4,33
0,33
2,33
4,33
1,33
7,33
3,33
1,33
9,33
8,33
3,33
8,33
0,33
0,33
6,33
6,33
2,33
4,33
4,33
1,33
5,33
6,33
3,33
2,33
5,33
1,33
3,33
2,33
8,33
1,33
3,33
6,33
9,33
4,33
2,33
2,33
4,33
8,33
3,33
0,33
1,33
2,33
2,33
5,33
8,33
3,33
8,33
1,33
7,33
4,33
3,33
3,33
1,33
9,33
2,33
4,33
6,33
6,33
2,33
5,33
8,33
0,33
0,33
3,33
0,33
1,33
3,33
2,33
4,33
3,33
8,33
3,33
6,33
1,33
0,33
6,33
3,33
6,33
9,33
5,33
6,33
3,33
5,33
3,33
0,33
6,33
2,33
5,33
4,33
8,33
3,33
4,33
1,33
9,33
5,33
3,33
6,33
8,33
7,33
1,33
8,33
0,33
2,33
0,33
2,33
3,33
5,33
5,33
3,33
9,33
8,33
4,33
2,33
9,33
9,33
1,33
9,33
9,33
9,33
4,33
6,33
4,33
5,33
9,33
1,33
5,33
2,33
3,33
8,33
3,33
3,33
6,33
2,33
3,33
8,33
6,33
1,33
0,33
2,33
3,33
5,33
5,33
7,33
3,33
5,33
4,33
7,33
3,33
1,33
6,33
2,33
1,33
7,33
2,33
3,33
5,33
6,33
3,33
1,33
9,33
7,33
5,33
3,33
3,33
1,33
9,33
3,33
8,33
4,33
5,33
8,33
3,33
0,33
0,33
1,33
4,33
1,33
1,33
3,33
6,33
2,33
2,33
8,33
6,33
5,33
3,33
0,33
3,33
8,33
9,33
8,33
3,33
2,33
7,33
9,33
6,33
9,33
0,33
6,33
1,33
2,33
3,33
3,33
5,33
6,33
2,33
5,33
5,33
3,33
3,33
5,33
9,33
6,33
4,33
4,33
8,33
6,33
4,33
8,33
3,33
7,33
4,33
1,33
0,33
9,33
1,33
1,33
0,33
2,33
1,33
9,33
3,33
9,33
2,33
6,33
6,33
4,33
2,33
1,33
0,33
3,33
3,33
1,33
8,33
2,33
1,33
3,33
8,33
6,33
8,33
0,33
5,33
6,33
5,33
2,33
4,33
8,33
7,33
1,33
3,33
2,33
2,33
1,33
7,33
7,33
2,33
9,33
1,33
9,33
9,33
9,33
0,33
9,33
0,33
9,33
9,33
9,33
4,33
5,33
9,33
6,33
4,33
1,33
9,33
2,33
2,33
3,33
8,33
0,33
8,33
1,33
1,33
8,33
5,33
3,33
4,33
4,33
0,33
6,33
0,33
5,33
3,33
9,33
2,33
3,33
4,33
0,33
2,33
1,33
6,33
1,33
9,33
3,33
5,33
1,33
0,33
6,33
1,33
0,33
3,33
1,33
6,33
9,33
2,33
6,33
8,33
1,33
6,33
5,33
3,33
8,33
0,33
3,33
1,33
8,33
1,33
8,33
2,33
1,33
3,33
2,33
8,33
5,33
3,33
3,33
3,33
7,33
0,33
3,33
0,33
8,33
2,33
7,33
3,33
6,33
1,33
8,33
1,33
3,33
6,33
3,33
3,33
4,33
0,33
3,33
8,33
3,33
0,33
2,33
3,33
0,33
3,33
9,33
2,33
1,33
2,33
5,33
5,33
0,33
3,33
8,33
1,33
0,33
0,33
1,33
6,33
1,33
7,33
2,33
3,33
4,33
5,33
2,33
6,33
3,33
8,33
3,33
3,33
4,33
3,33
3,33
3,33
3,33
2,33
3,33
2,33
5,33
8,33
3,33
2,33
3,33
6,33
8,33
4,33
3,33
3,33
8,33
0,33
2,33
6,33
8,33
0,33
6,33
8,33
0,33
6,33
3,33
5,33
8,33
3,33
4,33
6,33
8,33
8,33
4,33
2,33
8,33
9,33
3,33
1,33
2,33
8,33
1,33
1,33
8,33
3,33
2,33
3,33
6,33
9,33
0,33
3,33
9,33
2,33
7,33
3,33
2,33
2,33
7,33
1,33
9,33
3,33
3,33
6,33
2,33
8,33
2,33
8,33
3,33
2,33
6,33
8,33
2,33
3,33
9,33
4,33
6,33
9,33
4,33
0,33
3,33
2,33
9,33
2,33
8,33
7,33
6,33
3,33
9,33
2,33
8,33
9,33
9,33
7,33
8,33
7,33
2,33
3,33
5,33
6,33
8,33
3,33
5,33
1,33
3,33
9,33
6,33
3,33
3,33
0,33
4,33
9,33
1,33
6,33
3,33
3,33
3,33
9,33
1,33
3,33
2,33
0,33
5,33
2,33
2,33
3,33
8,33
5,33
1,33
3,33
0,33
6,33
3,33
9,33
3,33
1,33
7,33
7,33
0,33
2,33
0,33
1,33
7,33
6,33
3,33
3,33
0,33
1,33
3,33
9,33
3,33
7,33
3,33
7,33
9,33
2,33
9,33
1,33
2,33
9,33
3,33
7,33
2,33
6,33
9,33
7,33
2,33
1,33
8,33
2,33
9,33
6,33
3,33
2,33
3,33
0,33
2,33
9,33
9,33
3,33
3,33
1,33
3,33
1,33
6,33
9,33
1,33
5,33
4,33
8,33
0,33
1,33
4,33
4,33
3,33
3,33
8,33
2,33
5,33
6,33
1,33
8,33
2,33
9,33
5,33
6,33
3,33
3,33
7,33
7,33
3,33
0,33
3,33
3,33
4,33
0,33
6,33
5,33
0,33
0,33
6,33
3,33
5,33
2,33
3,33
1,33
1,33
5,33
9,33
1,33
8,33
1,33
4,33
3,33
0,33
4,33
1,33
7,33
2,33
6,33
3,33
8,33
9,33
6,33
1,33
3,33
9,33
3,33
8,33
1,33
3,33
4,33
7,33
1,33
3,33
4,33
9,33
9,33
7,33
3,33
6,33
6,33
3,33
9,33
1,33
8,33
9,33
3,33
3,33
9,33
3,33
3,33
3,33
6,33
0,33
9,33
9,33
9,33
9,33
3,33
2,33
1,33
3,33
6,33
4,33
9,33
1,33
3,33
8,33
0,33
3,33
4,33
1,33
8,33
0,33
5,33
1,33
1,33
9,33
3,33
1,33
3,33
5,33
3,33
1,33
3,33
9,33
1,33
2,33
6,33
9,33
6,33
8,33
3,33
0,33
2,33
3,33
1,33
3,33
8,33
2,33
2,33
9,33
8,33
0,33
0,33
3,33
0,33
8,33
0,33
1,33
6,33
3,33
1,33
6,33
8,33
4,33
6,33
5,33
1,33
2,33
3,33
4,33
9,33
3,33
7,33
7,33
3,33
3,33
3,33
9,33
7,33
3,33
2,33
2,33
6,33
6,33
7,33
5,33
0,33
5,33
9,33
6,33
6,33
9,33
3,33
8,33
8,33
7,33
9,33
7,33
3,33
6,33
0,33
2,33
6,33
7,33
1,33
8,33
1,33
5,33
8,33
6,33
5,33
6,33
2,33
7,33
9,33
3,33
6,33
2,33
9,33
8,33
1,33
9,33
8,33
2,33
8,33
4,33
9,33
3,33
8,33
3,33
4,33
3,33
4,33
2,33
6,33
4,33
6,33
4,33
3,33
3,33
3,33
3,33
9,33
2,33
2,33
6,33
7,33
1,33
3,33
3,33
0,33
2,33
8,33
8,33
8,33
3,33
8,33
1,33
4,33
1,33
5,33
4,33
5,33
9,33
7,33
1,33
2,33
7,33
0,33
2,33
9,33
0,33
9,33
1,33
3,33
6,33
5,33
3,33
4,33
3,33
8,33
7,33
8,33
7,33
2,33
0,33
9,33
9,33
9,33
0,33
3,33
3,33
9,33
2,33
6,33
0,33
4,33
9,33
1,33
1,33
3,33
4,33
3,33
2,33
3,33
6,33
1,33
1,33
2,33
3,33
0,33
2,33
1,33
1,33
7,33
3,33
5,33
3,33
0,33
2,33
9,33
7,33
1,33
0,33
1,33
3,33
4,33
3,33
2,33
6,33
8,33
3,33
9,33
9,33
5,33
6,33
4,33
3,33
1,33
1,33
3,33
9,33
9,33
7,33
9,33
8,33
3,33
2,33
7,33
1,33
0,33
6,33
8,33
8,33
3,33
0,33
0,33
0,33
5,33
0,33
0,33
3,33
9,33
3,33
2,33
4,33
2,33
3,33
3,33
3,33
6,33
6,33
5,33
3,33
4,33
5,33
1,33
8,33
6,33
3,33
8,33
3,33
6,33
3,33
8,33
6,33
6,33
8,33
6,33
8,33
8,33
7,33
8,33
5,33
3,33
2,33
0,33
0,33
3,33
1,33
1,33
8,33
5,33
2,33
2,33
8,33
3,33
2,33
6,33
2,33
9,33
3,33
3,33
1,33
8,33
1,33
4,33
0,33
7,33
4,33
2,33
3,33
0,33
3,33
6,33
1,33
2,33
9,33
3,33
8,33
2,33
9,33
1,33
1,33
8,33
0,33
1,33
2,33
1,33
6,33
3,33
3,33
4,33
8,33
3,33
0,33
2,33
0,33
0,33
2,33
0,33
0,33
7,33
2,33
3,33
3,33
9,33
8,33
1,33
4,33
9,33
9,33
4,33
5,33
8,33
9,33
9,33
9,33
6,33
5,33
8,33
8,33
3,33
2,33
5,33
6,33
0,33
7,33
2,33
1,33
1,33
6,33
0,33
0,33
9,33
3,33
3,33
1,33
5,33
8,33
2,33
3,33
2,33
4,33
2,33
7,33
8,33
5,33
0,33
3,33
2,33
1,33
9,33
2,33
3,33
5,33
3,33
9,33
3,33
2,33
8,33
8,33
3,33
5,33
0,33
3,33
4,33
1,33
7,33
3,33
3,33
4,33
9,33
0,33
0,33
2,33
3,33
0,33
3,33
8,33
2,33
4,33
3,33
0,33
2,33
1,33
7,33
0,33
3,33
5,33
3,33
2,33
2,33
4,33
2,33
9,33
0,33
8,33
9,33
0,33
2,33
5,33
3,33
8,33
4,33
0,33
0,33
8,33
5,33
8,33
6,33
0,33
1,33
7,33
4,33
2,33
4,33
4,33
2,33
7,33
8,33
9,33
5,33
8,33
7,33
0,33
7,33
2,33
1,33
5,33
6,33
4,33
3,33
2,33
4,33
1,33
2,33
3,33
9,33
2,33
3,33
0,33
9,33
4,33
6,33
3,33
0,33
5,33
8,33
5,33
3,33
8,33
5,33
3,33
2,33
6,33
8,33
8,33
0,33
6,33
1,33
6,33
3,33
6,33
1,33
3,33
0,33
7,33
4,33
0,33
7,33
4,33
5,33
3,33
1,33
8,33
0,33
8,33
6,33
8,33
3,33
1,33
0,33
9,33
1,33
3,33
8,33
4,33
9,33
3,33
0,33
5,33
9,33
0,33
1,33
4,33
4,33
4,33
3,33
9,33
8,33
6,33
2,33
6,33
9,33
1,33
0,33
0,33
6,33
9,33
5,33
3,33
6,33
9,33
3,33
9,33
3,33
8,33
9,33
2,33
3,33
2,33
7,33
0,33
9,33
9,33
0,33
6,33
6,33
5,33
9,33
9,33
2,33
0,33
4,33
0,33
7,33
7,33
1,33
3,33
2,33
3,33
3,33
5,33
7,33
3,33
2,33
1,33
6,33
5,33
1,33
6,33
3,33
2,33
2,33
4,33
4,33
6,33
5,33
2,33
4,33
0,33
5,33
3,33
9,33
5,33
0,33
1,33
6,33
1,33
8,33
9,33
3,33
5,33
7,33
8,33
5,33
7,33
1,33
3,33
9,33
0,33
3,33
7,33
9,33
4,33
6,33
6,33
3,33
9,33
6,33
9,33
1,33
8,33
8,33
8,33
3,33
8,33
0,33
8,33
0,33
2,33
5,33
7,33
3,33
